algorithm,clusters,silhouette,davies_bouldin,calinski_harabasz,min_cluster_share,noise_share
K-Means,5,0.22527438889486376,1.5001025027718493,990.8820065748247,0.09480968858131487,0.0
Hierarchical (Ward),5,0.21184068273861695,1.3900738430325277,838.3699824688961,0.01568627450980392,0.0
Gaussian Mixture,5,0.15411971906168725,1.9002770336555919,808.2639870096342,0.09111880046136102,0.0
HDBSCAN,4,0.2589925133027845,1.1990184298758475,750.391588010541,0.08866279069767442,0.6825836216839677
